Category (Heading) e.g https://www.iwoca.co.uk/,Topic - what the generated page is about,URL-Slug,Template-HTML-to-build-new-page-about-topic-from,Description
Tools,Loan-Repayment-Calculator,/loan-repayment-calculator,,
Tools,Lender-rates,https://app.contigocf.com/journey,,
Tools,Compare lenders rates,/compare,re-do this html themed to the topic: https://contigocf.com/,Our service specialises in comparing rates from top lenders in under 60s and then negotating the best rates possible on your side with our seasoned human touch brokerage team.
,,,,
Core-Products,Business-Loans,/business-loans,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Flexible-term-loans-for-UK-businesses-seeking-funding-for-growth,-stability-or-expansion."
Core-Products,Working-Capital-Loans,/working-capital,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Short-term-funding-to-cover-everyday-expenses-and-smooth-out-cashflow-gaps.
Core-Products,Invoice-Finance-&-Factoring,/invoice-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Unlock-cash-tied-up-in-unpaid-invoices-to-improve-cashflow-and-keep-operations-moving.
Core-Products,Invoice-Discounting,/invoice-discounting,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Confidential-invoice-finance-allowing-businesses-to-access-funds-without-customer-involvement.
Core-Products,Asset-Finance-(Vehicles-&-Equipment),/asset-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Spread-the-cost-of-vehicles,-machinery,-and-equipment-with-tailored-finance-solutions."
Core-Products,Merchant-Cash-Advance,/merchant-cash-advance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Funding-based-on-future-card-sales-—-ideal-for-retail,-hospitality-and-e-commerce."
Core-Products,Revenue-Based-Finance,/revenue-based-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Flexible-repayments-tied-directly-to-business-revenue-performance.
Core-Products,VAT-Loans,/vat-loans,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Loans-to-cover-quarterly-VAT-bills-and-ease-pressure-on-cashflow.
Core-Products,Business-Bridging-Loans,/business-bridging,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Short-term-finance-to-bridge-funding-gaps-until-longer-term-finance-is-secured.
Core-Products,Short-Term-Cashflow-Loans,/short-term-cashflow,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Fast-access-loans-to-handle-urgent-business-costs-and-emergencies.
Core-Products,Microloans-&-Small-Business-Loans,/microloans,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Smaller-loans-designed-for-young-or-growing-businesses-starting-from-£5,000."
,,,,
Specialist-Products,Commercial-Mortgages,/commercial-mortgage,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Long-term-funding-for-purchasing-or-refinancing-commercial-property.
Specialist-Products,Property-Refinance-&-Development-Funding,/developer-funding,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Finance-options-for-property-developers-and-businesses-needing-large-scale-funding.
Specialist-Products,Agricultural-&-Farm-Finance,/agricultural-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Specialist-loans-tailored-for-farming-and-agricultural-businesses.
Specialist-Products,Construction-&-Trades-Finance,/construction-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Funding-for-contractors,-builders,-and-trade-businesses-to-manage-projects-and-cashflow."
Specialist-Products,Hospitality-&-Leisure-Finance,/hospitality-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Finance-solutions-designed-for-pubs,-restaurants,-hotels,-and-leisure-businesses."
Specialist-Products,Retail-&-E-Commerce-Finance,/retail-ecommerce-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Working-capital-and-loan-products-suited-to-retail-and-online-businesses.
Specialist-Products,Healthcare-&-Care-Home-Finance,/healthcare-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Sector-specific-loans-for-medical-practices,-dental-surgeries,-and-care-homes."
Specialist-Products,Franchise-Finance,/franchise-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Loans-to-help-franchisees-buy,-expand,-or-invest-in-franchise-operations."
Specialist-Products,Start-Up-Growth-Funding-(6+-Months-Trading),/startup-growth,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Funding-for-new-businesses-trading-at-least-six-months-with-£50k+-turnover.
Specialist-Products,Renovation-&-Development-Finance,/development-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Finance-for-renovation,-refurbishment,-or-development-projects."
Specialist-Products,Purchase-Order-(PO)-&-Supplier-Finance,/po-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Cashflow-support-for-businesses-needing-funds-to-pay-suppliers-against-confirmed-orders.
Specialist-Products,Export-&-Trade-Finance,/export-trade-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Finance-solutions-to-support-international-trade,-imports,-and-exports."
Specialist-Products,Seasonal-&-Cyclical-Business-Loans,/seasonal-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Funding-designed-for-businesses-with-seasonal-demand-and-income-patterns.
Specialist-Products,Green-&-Energy-Efficiency-Finance,/green-finance,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Loans-for-sustainable,-energy-efficient-upgrades-and-environmentally-friendly-projects."
Specialist-Products,R&D-&-Innovation-Bridging,/r-and-d-bridging,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Short-term-finance-while-waiting-for-R&D-tax-credits-or-innovation-funding.
,,,,
Security-&-Loan-Types,Director-Guaranteed-vs-Unsecured-Loans,/secured-vs-unsecured,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Comparison-of-secured-and-unsecured-lending,-with-guidance-on-director-guarantees."
Security-&-Loan-Types,Bad-Credit-Business-Loans,/bad-credit-loans,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,"Options-for-businesses-with-poor-credit-history,-CCJs,-or-missed-payments."
Security-&-Loan-Types,Sale-&-Leaseback-Finance,/sale-leaseback,https://contigocf.com/article/can-glasgow-gp-surgery-secure-unsecured-finance-vital-1fa1f255.html,Unlock-capital-by-selling-assets-and-leasing-them-back-for-continued-use.
,,,,
How-to-Apply-&-Process,How-It-Works,/how-it-works,https://contigocf.com/how-to-get-a-business-loan.html,Step-by-step-overview-of-our-simple-business-finance-process.
How-to-Apply-&-Process,Documentation-Checklist,/document-checklist,https://contigocf.com/how-to-get-a-business-loan.html,"List-of-required-documents-(bank-statements,-ID,-turnover-evidence)-for-applications."
How-to-Apply-&-Process,Eligibility-Criteria,/eligibility,https://contigocf.com/how-to-get-a-business-loan.html,"Minimum-requirements:-6+-months-trading,-£50k+-turnover,-UK-registered,-£5k–£1m-loan-size."
,,,,
,,,,
Resources-&-Learning,Blog-&-Insights,/blog,"Create-blog-page-that-looks-like-this,-and-add-links-to-the-blog-pages-that-are-generated:-https://docs.google.com/document/d/19fJouV8AKkXLknKiUcd4HnLAORldqKttZ8Hi5XVElCk/edit?usp=sharing","Latest-news,-tips,-and-finance-insights-for-UK-businesses."
Resources-&-Learning,FAQs,/faqs,Redirect-to-https://contigocf.com/faq.html,Answers-to-the-most-common-questions-about-business-loans-and-eligibility.
,,,,
Contact-&-Trust,Book-a-Consultation,/book-consultation,,Schedule-a-free-consultation-with-one-of-our-finance-experts.
Contact-&-Trust,Apply-Now,/apply,/lender-comparison,"Start-a-simple,-no-obligation-online-application-today."
Contact-&-Trust,Eligibility-Checker,/eligibility-checker,/lender-comparison,Quickly-check-if-your-business-meets-our-minimum-lending-criteria.
Contact-&-Trust,Contact-Us,/contact,Bring-back-the-old-contact-page,Get-in-touch-with-our-team-via-phone-or-email-for-tailored-support.
Contact-&-Trust,Data-Security-&-Compliance,/data-security,https://contigocf.com/how-to-get-a-business-loan.html,How-we-protect-customer-information-and-maintain-strict-regulatory-compliance.
